key,nome,nomeunita1,daprof,aprof,litologia,etarel,a
1001825,138,LIGURIDI S.L.,0.0,400.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1002359,139,LIGURIDI S.L.,0.0,380.0,ARGILLITE-CALCARE MARNOSO-CALCARE SILICEO,CRETACEO,EOCENE
199292,140,LIGURIDI S.L.,0.0,348.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1009184,141,LIGURIDI S.L.,0.0,605.0,ARGILLITE-CALCARE MARNOSO/SILICEO,CRETACEO,EOCENE
1009992,142,LIGURIDI S.L.,0.0,305.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1004635,143,LIGURIDI S.L.,0.0,570.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
4945005,143,VULCANITI,0.0,300.0,PIROCLASTITI E LAVE,QUATERNARIO,
1009816,144,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,234.0,CONGLOMERATO-ARGILLA,NEOGENE,
135261,145,LIGURIDI S.L.,0.0,815.0,ARGILLITE-CALCARE MARNOSO/SILICEO,CRETACEO,EOCENE
1000555,146,LIGURIDI S.L.,0.0,445.0,ARGILLITE-CALCARE,CRETACEO,EOCENE
5534002,147,FORMAZIONI POSTOROGENICHE,0.0,154.0,CONGLOMERATI ED ARGILLE,NEOGENE,
587302,148,LIGURIDI S.L.,0.0,1340.0,ARGILLITE-CALCARE MARNOSO-CALCARE,CRETACEO,EOCENE
638835,149,CALCARE A PALOMBINI F.L.,0.0,250.0,CALCARE SILICEO-ARENARIA-ARGILLITE-CALCARENITE,TRIASSICO-INF,
698773,150,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,85.0,ARGILLA-CONGLOMERATO,PLIOCENE,
562843,151,LIGURIDI S.L.,0.0,1015.0,ARGILLITE-CALCARE,CRETACEO,EOCENE
5534005,153,SERIE OFIOLITIFERA,0.0,870.0,OFIOLITI,GIURASSICO,
1008666,155,LIGURIDI S.L.,0.0,540.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
776482,156,LIGURIDI S.L.,0.0,322.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1003820,157,LIGURIDI S.L.,0.0,522.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1003707,158,LIGURIDI S.L.,0.0,715.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
905522,159,LIGURIDI S.L.,0.0,1060.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
646028,160,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,170.0,CONGLOMERATO-ARGILLA-SABBIA,NEOGENE,
729136,161,LIGURIDI S.L.,0.0,675.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
5142018,161,VULCANITI,0.0,328.0,PIROCLASTITI E LAVE,QUATERNARIO,
5142027,162,VULCANITI,0.0,257.0,PIROCLASTITI E LAVE,QUATERNARIO,
5535007,162,LIGURIDI S.L.,0.0,560.0,"ARGILLITI,ARENARIE E CALCARI MARNOS",EOCENE SUP.,CRETACEO INF.
282407,163,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,150.0,MARNA-GESSO-ARENARIA-CONGLOMERATO-ARGILLA,MIOCENE-SUP,
399869,164,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,115.0,CONGLOMERATO-SABBIA-ARGILLA,PLIOCENE,
4945007,167,LIGURIDI S.L.,0.0,252.0,"ARGILLITI, MARNE, ARENARIE E CALCARI",OLIGOCENE,CRETACEO SUP.
4944009,168,LIGURIDI S.L.,0.0,218.0,"ARGILLITI, MARNE, ARENARIE E CALCARI",OLIGOCENE,CRETACEO SUP.
4845007,169,VULCANITI,0.0,315.0,PIROCLASTITI E LAVE,QUATERNARIO,
682531,170,VULCANITI,0.0,55.0,PIROCLASTITI-LAVE,QUATERNARIO,
4846007,172,VULCANITI,0.0,301.0,PIROCLASTITI E LAVE,QUATERNARIO,
5143009,186,VULCANITI,0.0,298.0,PIROCLASTITI E LAVE,QUATERNARIO,
1007732,187,VULCANITI,0.0,300.0,PIROCLASTITI E LAVE,QUATERNARIO,
5143010,188,VULCANITI,0.0,297.5,PIROCLASTITI E LAVE,QUATERNARIO,
5142028,189,VULCANITI,0.0,300.0,PIROCLASTITI E LAVE,QUATERNARIO,
5143011,190,VULCANITI,0.0,255.0,PIROCLASTITI E LAVE,QUATERNARIO,
5143008,191,VULCANITI,0.0,290.0,PIROCLASTITI E LAVE,QUATERNARIO,
5243009,193,VULCANITI,0.0,339.0,PIROCLASTITI E LAVE,QUATERNARIO,
4845004,198,VULCANITI,0.0,271.6,PIROCLASTITI E LAVE,QUATERNARIO,
4945008,199,VULCANITI,0.0,159.0,PIROCLASTITI E LAVE,QUATERNARIO,
4946006,200,VULCANITI,0.0,220.0,PIROCLASTITI E LAVE,QUATERNARIO,
4647004,201,VULCANITI,0.0,40.0,PIROCLASTITI E LAVE,QUATERNARIO,
4647005,202,VULCANITI,0.0,45.0,PIROCLASTITI,QUATERNARIO,
5242001,206,FORMAZIONI POSTOROGENICHE,0.0,268.4,"ARGILLE, SABBIE E CONGLOMERATI",PLEISTOCENE,MIOCENE SUP.
928368,102BIS,GRUPPO SERIE MARINO-CONTIN.,0.0,150.0,CONGLOMERATO,PLIOCENE-INF,
5142014,103latera,VULCANITI,0.0,270.0,PIROCLASTITI E LAVE,QUATERNARIO,
5243008,106alfina,VULCANITI,0.0,178.0,PIROCLASTITI E LAVE,QUATERNARIO,
5141001,111ischia,VULCANITI,0.0,90.0,PIROCLASTITI E LAVE,QUATERNARIO,
4845005,115m.sabatini,VULCANITI,0.0,158.0,PIROCLASTITI E LAVE,QUATERNARIO,
4847007,120m.sabatini,VULCANITI,0.0,140.0,PIROCLASTITI E LAVE,QUATERNARIO,
4846008,127m.sabatini,VULCANITI,0.0,112.0,PIROCLASTITI E LAVE,QUATERNARIO,
547109,138BIS,CALCARE A PALOMBINI F.L.,0.0,98.0,ARGILLITE-CALCARE SILICEO,CRETACEO-INF,
